Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Body Battery Drain,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2025-05-29 16:04:06,false,"4km + 10x600m/1:20’+ 2km","13.25","642","01:03:41","150","176","4.4","148","179","4:48","2:59","38","37","1.39","8.4","11.1","245","4:48","261","0.0","233","398","9,808","-15","No","00:00:13.1","27","01:02:47","01:09:21","173","182"
Running,2025-05-27 16:38:39,false,"Łódź Bieganie","12.06","558","00:59:12","141","157","3.6","160","171","4:55","3:56","61","39","1.27","9.3","11.8","263","4:54","238","0.0","238","303","9,430","-13","No","00:00:15.1","13","00:59:05","01:03:41","187","208"
Running,2025-05-25 07:42:05,false,"Easy Run","14.00","673","01:10:07","147","169","3.9","161","174","5:00","3:33","79","47","1.23","9.2","11.3","260","5:00","231","0.0","231","325","11,302","-17","No","00:00:01.2","15","01:10:01","01:16:50","187","211"
Running,2025-05-24 19:52:40,false,"Cool down","3.23","158","00:17:12","137","148","2.5","157","168","5:19","3:39","13","11","1.18","9.5","11.2","268","5:20","217","0.0","217","285","2,732","-4","No","00:01:13.7","4","00:17:07","00:23:36","215","225"
Running,2025-05-24 19:00:21,false,"Bieg Piotrkowską","10.09","397","00:39:13","147","154","3.7","169","181","3:53","3:21","41","39","1.53","7.6","11.7","226","3:53","290","0.0","290","361","6,572","-7","No","00:00:18.2","11","00:39:10","00:39:13","192","223"
Running,2025-05-24 18:27:24,false,"Warm up","2.33","109","00:12:28","133","148","2.2","156","240","5:22","3:26","6","--","1.18","9.3","10.7","262","5:22","227","0.0","218","353","1,990","-3","No","00:00:52.3","4","00:12:23","00:19:54","214","223"
Running,2025-05-22 16:37:32,false,"C.d. 6km + 5x20”/40” + 1km","3.94","156","00:18:56","120","135","2.2","160","187","4:49","2:54","5","7","1.27","9.0","11.3","257","4:49","237","0.0","234","359","3,024","-4","No","00:00:20","13","00:18:52","00:20:32","198","203"
Running,2025-05-22 16:12:58,false,"Easy Run","4.53","204","00:22:50","132","145","2.6","161","167","5:02","4:25","23","11","1.24","9.3","11.5","263","5:02","235","0.0","233","294","3,634","-5","No","00:00:01.7","7","00:22:36","00:22:55","196","212"
Running,2025-05-20 16:43:52,false,"Easy Run","12.13","545","00:59:25","137","152","3.5","160","177","4:54","3:16","59","33","1.27","9.2","11.6","261","4:54","244","0.0","243","362","9,518","-13","No","00:02:29.3","13","00:59:14","01:04:55","191","210"
Running,2025-05-18 11:22:54,false,"3km + 10km (4:18) + 2km","15.81","711","01:12:01","148","167","4.5","165","177","4:33","3:53","68","42","1.33","8.6","11.4","247","4:33","256","0.0","254","324","11,846","-19","No","00:00:04.5","17","01:11:44","01:21:16","189","207"
Running,2025-05-17 09:24:43,false,"Easy Run","12.15","550","00:59:46","128","143","3.6","162","171","4:55","3:08","66","46","1.24","9.1","11.2","257","4:55","242","0.0","241","415","9,704","-17","No","00:00:41.1","13","00:59:37","01:05:48","186","212"
Running,2025-05-15 16:47:52,false,"3km + 7x3’/2’ + 2km","12.32","536","00:57:58","120","184","3.2","154","179","4:42","3:05","55","33","1.35","8.3","10.8","241","4:41","260","0.0","236","374","9,222","--","No","00:00:04.7","21","00:57:33","01:08:30","169","184"
Running,2025-05-13 16:07:28,false,"Easy Run","12.01","529","00:58:58","134","152","3.4","161","171","4:55","4:05","60","48","1.25","9.1","11.5","259","4:55","239","0.0","238","302","9,534","-12","No","00:00:01.8","13","00:58:52","01:01:47","193","209"
Running,2025-05-11 16:49:26,false,"3km + 10x1km /1:15’ + 2km","17.12","794","01:21:09","153","166","4.4","156","177","4:44","3:36","44","23","1.32","8.4","10.9","244","4:44","248","0.0","235","361","13,066","--","No","00:00:04.1","26","01:19:59","01:29:14","191","209"
Running,2025-05-10 06:59:15,false,"Easy Run","12.49","584","01:00:29","152","169","4.2","160","237","4:51","3:57","23","12","1.27","9.0","11.4","256","4:54","232","0.0","232","302","9,752","-20","No","00:02:24.8","13","01:00:08","01:14:59","1","15"
Running,2025-05-08 06:52:15,false,"4km + 8x2’/2’ + 2km","12.19","567","01:00:28","147","177","3.8","151","231","4:58","3:08","31","18","1.30","8.5","10.6","245","4:59","239","0.0","216","345","9,378","-19","No","00:00:08.5","23","00:59:37","01:12:04","458","466"
Running,2025-05-05 07:07:55,false,"Easy Run","12.03","559","01:00:50","146","167","3.9","156","237","5:03","4:08","116","100","1.24","9.2","11.3","261","5:06","221","0.0","224","308","9,670","-20","No","00:00:08.9","13","01:00:19","01:20:42","109","155"
